POS Name,Retail Tran Post DateTime,Retail Tran DateTime,Tender Name,Retail Tran Tender Amount,Offline Tran Flag
,{null},{null},{null},513.19,{null}
,,,,,
,,,,,
POS Name,Retail Tran Post DateTime,Retail Tran DateTime,Tender Name,Retail Tran Tender Amount,Offline Tran Flag
Sushi Love 5,"Sunday, August 26, 2018 8:19:20 PM","Sunday, August 26, 2018 8:19:15 PM",Student Flex,$19.75,F
Sushi Love 4,"Sunday, August 26, 2018 8:19:23 PM","Sunday, August 26, 2018 8:19:19 PM",Flex Tips,$3.95,F
Sushi Love 4,"Sunday, August 26, 2018 8:19:41 PM","Sunday, August 26, 2018 8:19:36 PM",Student Food,$44.25,F
Sushi Love 5,"Sunday, August 26, 2018 8:19:45 PM","Sunday, August 26, 2018 8:19:41 PM",Food Tips,$8.85,F
Sushi Love 4,"Sunday, August 26, 2018 8:20:03 PM","Sunday, August 26, 2018 8:19:58 PM",Student Food,$24.50,F
Sushi Love 4,"Sunday, August 26, 2018 8:20:05 PM","Sunday, August 26, 2018 8:20:02 PM",Food Tips,$4.90,F
Sushi Love 4,"Sunday, August 26, 2018 8:20:25 PM","Sunday, August 26, 2018 8:20:19 PM",Student Food,$33.25,F
Sushi Love 4,"Sunday, August 26, 2018 8:20:28 PM","Sunday, August 26, 2018 8:20:24 PM",Food Tips,$6.65,F
Sushi Love 4,"Sunday, August 26, 2018 8:20:44 PM","Sunday, August 26, 2018 8:20:40 PM",Student Food,$17.75,F
Sushi Love 4,"Sunday, August 26, 2018 8:20:47 PM","Sunday, August 26, 2018 8:20:43 PM",Food Tips,$3.55,F
Sushi Love 5,"Sunday, August 26, 2018 8:20:59 PM","Sunday, August 26, 2018 8:20:56 PM",Student Food,$18.50,F
Sushi Love 5,"Sunday, August 26, 2018 8:21:03 PM","Sunday, August 26, 2018 8:20:58 PM",Food Tips,$3.70,F
Sushi Love 4,"Sunday, August 26, 2018 8:37:09 PM","Sunday, August 26, 2018 8:37:08 PM",Student Food,$15.00,F
Sushi Love 5,"Sunday, August 26, 2018 8:37:14 PM","Sunday, August 26, 2018 8:37:13 PM",Food Tips,$1.50,F
Sushi Love 4,"Sunday, August 26, 2018 9:03:51 PM","Sunday, August 26, 2018 9:03:50 PM",Student Food,$24.50,F
Sushi Love 4,"Sunday, August 26, 2018 9:03:56 PM","Sunday, August 26, 2018 9:03:56 PM",Food Tips,$3.67,F
Sushi Love 4,"Sunday, August 26, 2018 9:07:22 PM","Sunday, August 26, 2018 9:07:22 PM",Student Food,$18.25,F
Sushi Love 4,"Sunday, August 26, 2018 9:07:26 PM","Sunday, August 26, 2018 9:07:26 PM",Food Tips,$2.73,F
Sushi Love 4,"Sunday, August 26, 2018 9:17:56 PM","Sunday, August 26, 2018 9:17:55 PM",Student Food,$40.25,F
Sushi Love 4,"Sunday, August 26, 2018 9:18:14 PM","Sunday, August 26, 2018 9:18:12 PM",Food Tips,$8.05,F
Sushi Love 4,"Sunday, August 26, 2018 9:18:15 PM","Sunday, August 26, 2018 9:18:14 PM",Food Tips,$6.03,F
Sushi Love 4,"Sunday, August 26, 2018 9:18:56 PM","Sunday, August 26, 2018 9:18:55 PM",Student Food,$59.00,F
Sushi Love 4,"Sunday, August 26, 2018 9:18:59 PM","Sunday, August 26, 2018 9:18:58 PM",Food Tips,$11.80,F
Sushi Love 4,"Sunday, August 26, 2018 9:27:39 PM","Sunday, August 26, 2018 9:27:38 PM",Student Food,$19.75,F
Sushi Love 4,"Sunday, August 26, 2018 9:27:41 PM","Sunday, August 26, 2018 9:27:41 PM",Food Tips,$3.95,F
Sushi Love 4,"Sunday, August 26, 2018 9:45:38 PM","Sunday, August 26, 2018 9:45:37 PM",Student Food,$19.50,F
Sushi Love 4,"Sunday, August 26, 2018 9:45:41 PM","Sunday, August 26, 2018 9:45:41 PM",Food Tips,$1.95,F
Sushi Love 4,"Sunday, August 26, 2018 9:55:30 PM","Sunday, August 26, 2018 9:55:29 PM",Student Food,$46.40,F
Sushi Love 4,"Sunday, August 26, 2018 9:55:34 PM","Sunday, August 26, 2018 9:55:32 PM",Food Tips,$9.28,F
Sushi Love 4,"Sunday, August 26, 2018 9:55:34 PM","Sunday, August 26, 2018 9:55:33 PM",Food Tips,$6.96,F
Sushi Love 4,"Sunday, August 26, 2018 9:55:48 PM","Sunday, August 26, 2018 9:55:47 PM",Student Food,$19.25,F
Sushi Love 4,"Sunday, August 26, 2018 9:55:50 PM","Sunday, August 26, 2018 9:55:50 PM",Food Tips,$3.85,F
Sushi Love 4,"Sunday, August 26, 2018 9:55:51 PM","Sunday, August 26, 2018 9:55:50 PM",Food Tips,$1.92,F
,,,,,
,,,,,
POS Name,Retail Tran Post DateTime,Retail Tran DateTime,Tender Name,Retail Tran Tender Amount,Offline Tran Flag
{null},{null},{null},{null},513.19,{null}
,,,,,
,,,,,
